kind,epoch,batch,total,value,policy,samples
epoch,8,0,355199.593750,1327.355347,353872.250000,3
batch,9,1,131123.437500,1327.179077,129796.257812,3
epoch,9,0,131123.437500,1327.179077,129796.257812,3
batch,10,1,227795.000000,1325.624146,226469.375000,3
epoch,10,0,227795.000000,1325.624146,226469.375000,3
batch,11,1,202839.890625,1325.079712,201514.812500,3
epoch,11,0,202839.890625,1325.079712,201514.812500,3
batch,12,1,121390.921875,1325.115356,120065.804688,3
epoch,12,0,121390.921875,1325.115356,120065.804688,3
batch,13,1,283612.156250,1322.294067,282289.875000,3
epoch,13,0,283612.156250,1322.294067,282289.875000,3
batch,14,1,198097.515625,1321.285156,196776.234375,3
epoch,14,0,198097.515625,1321.285156,196776.234375,3
batch,15,1,134058.265625,1318.348755,132739.921875,3
epoch,15,0,134058.265625,1318.348755,132739.921875,3
batch,16,1,148419.000000,1316.459839,147102.546875,3
epoch,16,0,148419.000000,1316.459839,147102.546875,3
batch,17,1,71208.835938,1310.048218,69898.789062,3
epoch,17,0,71208.835938,1310.048218,69898.789062,3
batch,18,1,42852.027344,1068.889038,41783.136719,3
epoch,18,0,42852.027344,1068.889038,41783.136719,3
batch,19,1,11789.963867,6.951726,11783.011719,2
epoch,19,0,11789.963867,6.951726,11783.011719,2
batch,20,1,40737.214844,1299.531128,39437.683594,3
epoch,20,0,40737.214844,1299.531128,39437.683594,3
batch,21,1,79319.375000,1296.680298,78022.695312,3
epoch,21,0,79319.375000,1296.680298,78022.695312,3
batch,22,1,45962.035156,1294.774414,44667.261719,3
epoch,22,0,45962.035156,1294.774414,44667.261719,3
batch,23,1,16239.351562,1289.890137,14949.461914,3
epoch,23,0,16239.351562,1289.890137,14949.461914,3
batch,24,1,14386.881836,1288.537231,13098.344727,3
epoch,24,0,14386.881836,1288.537231,13098.344727,3
batch,25,1,36495.773438,39.558929,36456.214844,3
epoch,25,0,36495.773438,39.558929,36456.214844,3
batch,26,1,17713.273438,1287.508423,16425.765625,3
epoch,26,0,17713.273438,1287.508423,16425.765625,3
batch,27,1,20457.080078,1287.310547,19169.769531,3
epoch,27,0,20457.080078,1287.310547,19169.769531,3
batch,28,1,17821.695312,1206.208740,16615.486328,3
epoch,28,0,17821.695312,1206.208740,16615.486328,3
batch,29,1,20715.238281,1287.422119,19427.816406,3
epoch,29,0,20715.238281,1287.422119,19427.816406,3
batch,30,1,31310.615234,8.711743,31301.904297,2
epoch,30,0,31310.615234,8.711743,31301.904297,2
batch,31,1,22250.275391,839.255676,21411.019531,3
epoch,31,0,22250.275391,839.255676,21411.019531,3
batch,32,1,23946.054688,4.647337,23941.408203,4
epoch,32,0,23946.054688,4.647337,23941.408203,4
batch,33,1,28673.751953,1287.257202,27386.494141,3
epoch,33,0,28673.751953,1287.257202,27386.494141,3
batch,34,1,35975.835938,8.755807,35967.082031,2
epoch,34,0,35975.835938,8.755807,35967.082031,2
batch,35,1,25502.748047,1287.293335,24215.455078,3
epoch,35,0,25502.748047,1287.293335,24215.455078,3
batch,36,1,24166.052734,386.117340,23779.935547,3
epoch,36,0,24166.052734,386.117340,23779.935547,3
batch,37,1,43616.898438,69.439011,43547.460938,4
epoch,37,0,43616.898438,69.439011,43547.460938,4
batch,38,1,24930.306641,1287.203003,23643.103516,3
epoch,38,0,24930.306641,1287.203003,23643.103516,3
batch,39,1,31214.964844,776.148621,30438.816406,5
epoch,39,0,31214.964844,776.148621,30438.816406,5
batch,40,1,25190.390625,1287.197632,23903.193359,3
epoch,40,0,25190.390625,1287.197632,23903.193359,3
batch,41,1,25538.662109,533.513367,25005.148438,3
epoch,41,0,25538.662109,533.513367,25005.148438,3
batch,42,1,20133.779297,437.862671,19695.916016,3
epoch,42,0,20133.779297,437.862671,19695.916016,3
batch,43,1,21417.208984,1287.358887,20129.849609,3
epoch,43,0,21417.208984,1287.358887,20129.849609,3
batch,44,1,21928.708984,1287.402100,20641.306641,3
epoch,44,0,21928.708984,1287.402100,20641.306641,3
batch,45,1,18441.814453,1287.206543,17154.607422,3
epoch,45,0,18441.814453,1287.206543,17154.607422,3
batch,46,1,33716.796875,1287.193970,32429.601562,3
epoch,46,0,33716.796875,1287.193970,32429.601562,3
